"date","commodity","country","district","grade","price_type","price_lkr_per_kg","currency","unit","market_level","frequency","source","source_url"
"2026-03-17","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","highest","1950.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Nuwara_eliya","Grade 1","average","1943.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kegalle","Grade 1","highest","2300.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kegalle","Grade 1","average","2150.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Ratnapura","Grade 1","highest","2050.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Ratnapura","Grade 1","average","2000.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Ratnapura","Grade 2","highest","1950.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Ratnapura","Grade 2","average","1930.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Badulla","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Badulla","Grade 1","average","2072.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
